id,transaction_id,date,amount,merchant_name,card_type,transaction_country,risk_score,fraud_outcome,triggering_rule,flagging_severity
1,TXN-100000,2025-07-01 00:00:00,85.43,Target,Credit,Nigeria,47,Legitimate,,
2,TXN-100001,2025-07-01 01:00:00,59.09,Apple Store,Debit,Russia,40,Legitimate,,
3,TXN-100002,2025-07-01 01:00:00,105.10,PayPal Transfer,Credit,Brazil,80,Confirmed Fraud,CA-221b,Warning
4,TXN-100003,2025-07-01 02:00:00,56.94,Spotify,Credit,India,0,Legitimate,,
5,TXN-100004,2025-07-01 03:00:00,29.14,Apple Store,Credit,United States,13,Legitimate,,
6,TXN-100005,2025-07-01 04:00:00,47.82,Unknown Merchant,Debit,India,3,Legitimate,,
7,TXN-100006,2025-07-01 05:00:00,83.06,Amazon,Credit,Nigeria,86,Confirmed Fraud,IP-519,Critical
8,TXN-100007,2025-07-01 05:00:00,38.91,DoorDash,Debit,Russia,69,Confirmed Fraud,IP-519b,Critical
9,TXN-100008,2025-07-01 05:00:00,68.35,DoorDash,Credit,Canada,62,Pending Review,CA-221b,Critical
10,TXN-100009,2025-07-01 08:00:00,719.32,Walmart,Credit,United States,42,Legitimate,,
11,TXN-100010,2025-07-01 09:00:00,93.55,Netflix,Debit,France,27,Legitimate,VD-338,Info
12,TXN-100011,2025-07-01 09:00:00,26.82,Etsy Shop,Debit,United States,26,Pending Review,IP-519,Info
13,TXN-100012,2025-07-01 10:00:00,11.63,Booking.com,Debit,United Kingdom,11,Legitimate,,
14,TXN-100013,2025-07-01 11:00:00,22.72,Walmart,Debit,Canada,34,Legitimate,CR-145,Warning
15,TXN-100014,2025-07-01 12:00:00,109.33,Unknown Merchant,Prepaid,Canada,36,Legitimate,DV-812,Warning
16,TXN-100015,2025-07-01 13:00:00,62.26,Steam Games,Credit,Nigeria,39,Legitimate,,
17,TXN-100016,2025-07-01 14:00:00,2045.69,Walmart,Debit,Brazil,58,Confirmed Fraud,VD-338,Critical
18,TXN-100017,2025-07-01 17:00:00,15.83,Steam Games,Credit,United States,23,Legitimate,,
19,TXN-100018,2025-07-01 17:00:00,43.13,Steam Games,Credit,Germany,48,Legitimate,,
20,TXN-100019,2025-07-01 20:00:00,16.40,AirBnB,Credit,United States,73,Pending Review,TP-290,Warning
21,TXN-100020,2025-07-01 21:00:00,26.20,AirBnB,Credit,Mexico,2,Legitimate,,
22,TXN-100021,2025-07-01 21:00:00,19.92,Unknown Merchant,Prepaid,Canada,17,Legitimate,,
23,TXN-100022,2025-07-01 21:00:00,57.81,Apple Store,Credit,Brazil,29,Legitimate,,
24,TXN-100023,2025-07-01 22:00:00,22.15,Best Buy,Debit,Brazil,20,Legitimate,,
25,TXN-100024,2025-07-01 23:00:00,3.14,Google Play,Prepaid,United States,30,Legitimate,,
26,TXN-100025,2025-07-02 00:00:00,183.04,Amazon,Credit,Nigeria,78,Confirmed Fraud,ND-504,Critical
27,TXN-100026,2025-07-02 02:00:00,57.83,Uber,Debit,Nigeria,23,Legitimate,,
28,TXN-100027,2025-07-02 04:00:00,15.29,Shell Gas,Debit,Germany,10,Legitimate,CA-221,Warning
29,TXN-100028,2025-07-02 05:00:00,36.88,Shopify Merchant,Credit,Germany,29,Legitimate,CA-221,Warning
30,TXN-100029,2025-07-02 07:00:00,96.28,Instacart,Debit,Germany,7,Legitimate,,
31,TXN-100030,2025-07-02 09:00:00,181.78,Steam Games,Credit,United States,3,Legitimate,,
32,TXN-100031,2025-07-02 11:00:00,27.29,Booking.com,Debit,India,38,Legitimate,,
33,TXN-100032,2025-07-02 12:00:00,15.01,Walmart,Credit,Canada,73,Confirmed Fraud,ND-504,Critical
34,TXN-100033,2025-07-02 14:00:00,17.82,Etsy Shop,Credit,Canada,48,Legitimate,,
35,TXN-100034,2025-07-02 14:00:00,31.29,Apple Store,Prepaid,United States,33,Legitimate,,
